year,type,discipline,event,as,athlete_id,noc,medal
2006,Winter,Biathlon,"4 × 6 kilometres Relay, Women",Delphine Peretto,110022,FRA,Bronze
2022,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Victoria Carl,137266,GER,Silver
2022,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Katharina Hennig,137268,GER,Silver
2022,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Yuliya Stupak,137792,ROC,Gold
2022,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Nataliya Nepryayeva,137794,ROC,Gold
2022,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Ebba Andersson,138155,SWE,Bronze
2022,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Sofie Krehl,148398,GER,Silver
2022,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Katherine Sauerbrey,148400,GER,Silver
2022,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Tatyana Sorina,148775,ROC,Gold
2022,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Veronika Stepanova,148776,ROC,Gold
2018,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Marit Bjørgen,101008,NOR,Gold
2018,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Anna Haag,118732,SWE,Silver
2018,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Astrid Uhrenholdt Jacobsen,118734,NOR,Gold
2018,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Charlotte Kalla,118748,SWE,Silver
2018,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Ingvild Flugstad Østberg,128189,NOR,Gold
2018,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Stina Nilsson,128586,SWE,Silver
2018,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Ragnhild Haga,137717,NOR,Gold
2018,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Yuliya Belorukova,137792,ROC,Bronze
2018,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Anna Nechayevskaya,137793,ROC,Bronze
2018,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Nataliya Nepryayeva,137794,ROC,Bronze
2018,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Anastasiya Sedova,137795,ROC,Bronze
2018,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Ebba Andersson,138155,SWE,Silver
2014,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Claudia Nystad,100992,GER,Bronze
2014,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Stefanie Böhler,109789,GER,Bronze
2014,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Aino-Kaisa Saarinen,110053,FIN,Silver
2014,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Nicole Fessel,110919,GER,Bronze
2014,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Anna Haag,118732,SWE,Gold
2014,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Charlotte Kalla,118748,SWE,Gold
2014,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Ida Ingemarsdotter,118767,SWE,Gold
2014,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Krista Lähteenmäki,118787,FIN,Silver
2014,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Anne Kyllönen,127660,FIN,Silver
2014,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Kerttu Niskanen,127662,FIN,Silver
2014,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Denise Herrmann,127819,GER,Bronze
2014,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Emma Wikén,128587,SWE,Gold
2010,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Evi Sachenbacher-Stehle,100986,GER,Silver
2010,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Riitta-Liisa Roponen,100991,FIN,Bronze
2010,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Claudia Nystad,100992,GER,Silver
2010,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Vibeke Skofterud,100994,NOR,Gold
2010,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Marit Bjørgen,101008,NOR,Gold
2010,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Kristin Størmer Steira,109781,NOR,Gold
2010,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Aino-Kaisa Saarinen,110053,FIN,Bronze
2010,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Virpi Kuitunen,110054,FIN,Bronze
2010,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Katrin Zeller,118783,GER,Silver
2010,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Miriam Gössner,118814,GER,Silver
2010,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Pirjo Muranen,118833,FIN,Bronze
2010,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Therese Johaug,118852,NOR,Gold
2006,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Gabriella Paruzzi,82035,ITA,Bronze
2006,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Sabina Valbusa,82915,ITA,Bronze
2006,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Antonella Confortola,100007,ITA,Bronze
2006,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Yuliya Chepalova,100033,RUS,Gold
2006,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Evi Sachenbacher-Stehle,100986,GER,Silver
2006,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Claudia Nystad,100992,GER,Silver
2006,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Viola Bauer,101301,GER,Silver
2006,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Yevgeniya Medvedeva,109780,RUS,Gold
2006,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Stefanie Böhler,109789,GER,Silver
2006,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Arianna Follis,109793,ITA,Bronze
2006,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Larisa Kurkina,110418,RUS,Gold
2006,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Nataliya Baranova,110419,RUS,Gold
2002,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Brigitte Albrecht-Loretan,80516,SUI,Bronze
2002,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Natascia Leonardi Cortesi,81657,SUI,Bronze
2002,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Bente Skari,81768,NOR,Silver
2002,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Anita Moen,81856,NOR,Silver
2002,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Manuela Henkel,100015,GER,Gold
2002,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Andrea Huber,100037,SUI,Bronze
2002,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Evi Sachenbacher,100986,GER,Gold
2002,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Hilde Gjermundshaug Pedersen,100988,NOR,Silver
2002,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Claudia Künzel,100992,GER,Gold
2002,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Marit Bjørgen,101008,NOR,Silver
2002,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Viola Bauer,101301,GER,Gold
2002,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Laurence Rochat,101315,SUI,Bronze
2022,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Maurice Manificat,118811,FRA,Bronze
2022,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Pål Golberg,128193,NOR,Silver
2022,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Sergey Ustyugov,128329,ROC,Gold
2022,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Richard Jouve,137175,FRA,Bronze
2022,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Clément Parisse,137177,FRA,Bronze
2022,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Hans Christer Holund,137722,NOR,Silver
2022,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Emil Iversen,137723,NOR,Silver
2022,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Johannes Høsflot Klæbo,137724,NOR,Silver
2022,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Aleksandr Bolshunov,137797,ROC,Gold
1936,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Art Child,138435,GBR,Gold
2022,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Aleksey Chervotkin,137798,ROC,Gold
2022,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Denis Spitsov,137801,ROC,Gold
2022,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Hugo Lapalus,148335,FRA,Bronze
2018,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Jean-Marc Gaillard,110681,FRA,Bronze
2018,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Martin Johnsrud Sundby,118807,NOR,Gold
2018,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Maurice Manificat,118811,FRA,Bronze
2018,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Adrien Backscheider,127731,FRA,Bronze
2018,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Clément Parisse,137177,FRA,Bronze
2018,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Johannes Høsflot Klæbo,137724,NOR,Gold
2018,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Simen Hegstad Krüger,137726,NOR,Gold
2018,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Didrik Tønseth,137727,NOR,Gold
2018,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Aleksandr Bolshunov,137797,ROC,Silver
2018,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Aleksey Chervotkin,137798,ROC,Silver
2018,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Andrey Larkov,137799,ROC,Silver
2018,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Denis Spitsov,137801,ROC,Silver
2014,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Johan Olsson,109824,SWE,Gold
2014,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Aleksandr Legkov,109828,RUS,Silver
2014,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Jean-Marc Gaillard,110681,FRA,Bronze
2014,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Daniel Rickardsson,118751,SWE,Gold
2014,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Maksim Vylegzhanin,118800,RUS,Silver
2014,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Marcus Hellner,118802,SWE,Gold
2014,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Maurice Manificat,118811,FRA,Bronze
2014,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Robin Duvillard,118836,FRA,Bronze
2014,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Ivan Perrillat Boiteux,127735,FRA,Bronze
2014,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Aleksandr Bessmertnykh,128325,RUS,Silver
2014,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Dmitry Yaparov,128331,RUS,Silver
2014,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Lars Nelson,128589,SWE,Gold
2010,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Lukáš Bauer,100078,CZE,Bronze
2010,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Martin Koukal,100079,CZE,Bronze
2010,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Jiří Magál,100081,CZE,Bronze
2010,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Odd-Bjørn Hjelmeset,101325,NOR,Silver
2010,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Anders Södergren,109816,SWE,Gold
2010,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Johan Olsson,109824,SWE,Gold
2010,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Daniel Rickardsson,118751,SWE,Gold
2010,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Marcus Hellner,118802,SWE,Gold
2010,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Martin Jakš,118806,CZE,Bronze
2010,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Martin Johnsrud Sundby,118807,NOR,Silver
2010,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Petter Northug,118832,NOR,Silver
2006,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Mathias Fredriksson,85833,SWE,Bronze
2006,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Fulvio Valbusa,98515,ITA,Gold
2006,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Andreas Schlütter,100063,GER,Silver
2006,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",René Sommerfeldt,100064,GER,Silver
2006,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Pietro Piller Cottrer,100096,ITA,Gold
2006,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Giorgio Di Centa,100112,ITA,Gold
2006,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Cristian Zorzi,101017,ITA,Gold
2006,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Tobias Angerer,101024,GER,Silver
2006,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Jens Filbrich,101331,GER,Silver
2006,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Anders Södergren,109816,SWE,Bronze
2006,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Johan Olsson,109824,SWE,Bronze
2006,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Mats Larsson,110680,SWE,Bronze
2002,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Thomas Alsgaard,83560,NOR,Gold
2002,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Kristen Skjeldal,97598,NOR,Gold
2002,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Fabio Maj,100057,ITA,Silver
2002,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Andreas Schlütter,100063,GER,Bronze
2002,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",René Sommerfeldt,100064,GER,Bronze
2002,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Pietro Piller Cottrer,100096,ITA,Silver
2002,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Giorgio Di Centa,100112,ITA,Silver
2002,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Cristian Zorzi,101017,ITA,Silver
2002,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Tobias Angerer,101024,GER,Bronze
2002,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Frode Estil,101316,NOR,Gold
2002,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Anders Aukland,101317,NOR,Gold
2002,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Jens Filbrich,101331,GER,Bronze
2010,Winter,Biathlon,"4 × 10 kilometres Relay, Men",Lars Berger,118867,NOR,Silver
2022,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Therese Johaug,118852,NOR,Gold
2022,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Kerttu Niskanen,127662,FIN,Bronze
2022,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Jessie Diggins,128689,USA,Silver
2018,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Marit Bjørgen,101008,NOR,Gold
2018,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Krista Pärmäkoski,118787,FIN,Silver
2018,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Stina Nilsson,128586,SWE,Bronze
2014,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Marit Bjørgen,101008,NOR,Gold
2014,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Kristin Størmer Steira,109781,NOR,Bronze
2014,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Therese Johaug,118852,NOR,Silver
2010,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Marit Bjørgen,101008,NOR,Silver
2010,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Justyna Kowalczyk,109782,POL,Gold
2010,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Aino-Kaisa Saarinen,110053,FIN,Bronze
2006,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Kateřina Neumannová,81928,CZE,Gold
2006,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Yuliya Chepalova,100033,RUS,Silver
2006,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Justyna Kowalczyk,109782,POL,Bronze
2002,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Stefania Belmondo,80627,ITA,Silver
2002,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Bente Skari,81768,NOR,Bronze
2002,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Gabriella Paruzzi,82035,ITA,Gold
2002,Winter,Cross Country Skiing (Skiing),"30 kilometres, Men",Mikhail Botvinov,84279,AUT,Silver
2002,Winter,Cross Country Skiing (Skiing),"30 kilometres, Men",Kristen Skjeldal,97598,NOR,Bronze
2002,Winter,Cross Country Skiing (Skiing),"30 kilometres, Men",Christian Hoffmann,100066,AUT,Gold
2022,Winter,Cross Country Skiing (Skiing),"30 kilometres Skiathlon, Men",Iivo Niskanen,127665,FIN,Bronze
2022,Winter,Cross Country Skiing (Skiing),"30 kilometres Skiathlon, Men",Aleksandr Bolshunov,137797,ROC,Gold
2022,Winter,Cross Country Skiing (Skiing),"30 kilometres Skiathlon, Men",Denis Spitsov,137801,ROC,Silver
2018,Winter,Cross Country Skiing (Skiing),"30 kilometres Skiathlon, Men",Martin Johnsrud Sundby,118807,NOR,Silver
2018,Winter,Cross Country Skiing (Skiing),"30 kilometres Skiathlon, Men",Hans Christer Holund,137722,NOR,Bronze
2018,Winter,Cross Country Skiing (Skiing),"30 kilometres Skiathlon, Men",Simen Hegstad Krüger,137726,NOR,Gold
2014,Winter,Cross Country Skiing (Skiing),"30 kilometres Skiathlon, Men",Dario Cologna,118753,SUI,Gold
2014,Winter,Cross Country Skiing (Skiing),"30 kilometres Skiathlon, Men",Marcus Hellner,118802,SWE,Silver
2014,Winter,Cross Country Skiing (Skiing),"30 kilometres Skiathlon, Men",Martin Johnsrud Sundby,118807,NOR,Bronze
2010,Winter,Cross Country Skiing (Skiing),"30 kilometres Skiathlon, Men",Tobias Angerer,101024,GER,Silver
2010,Winter,Cross Country Skiing (Skiing),"30 kilometres Skiathlon, Men",Johan Olsson,109824,SWE,Bronze
2010,Winter,Cross Country Skiing (Skiing),"30 kilometres Skiathlon, Men",Marcus Hellner,118802,SWE,Gold
2006,Winter,Cross Country Skiing (Skiing),"30 kilometres Skiathlon, Men",Pietro Piller Cottrer,100096,ITA,Bronze
2006,Winter,Cross Country Skiing (Skiing),"30 kilometres Skiathlon, Men",Frode Estil,101316,NOR,Silver
2006,Winter,Cross Country Skiing (Skiing),"30 kilometres Skiathlon, Men",Yevgeny Dementyev,109818,RUS,Gold
2022,Winter,Speed Skating (Skating),"3,000 metres, Women",Francesca Lollobrigida,127960,ITA,Silver
2022,Winter,Speed Skating (Skating),"3,000 metres, Women",Isabelle Weidemann,136920,CAN,Bronze
2022,Winter,Speed Skating (Skating),"3,000 metres, Women",Irene Schouten,137692,NED,Gold
2018,Winter,Speed Skating (Skating),"3,000 metres, Women",Ireen Wüst,109767,NED,Silver
2018,Winter,Speed Skating (Skating),"3,000 metres, Women",Antoinette de Jong,128166,NED,Bronze
2018,Winter,Speed Skating (Skating),"3,000 metres, Women",Carlijn Achtereekte,137690,NED,Gold
2014,Winter,Speed Skating (Skating),"3,000 metres, Women",Ireen Wüst,109767,NED,Gold
2014,Winter,Speed Skating (Skating),"3,000 metres, Women",Martina Sáblíková,109768,CZE,Silver
2014,Winter,Speed Skating (Skating),"3,000 metres, Women",Olga Graf,128403,RUS,Bronze
2010,Winter,Speed Skating (Skating),"3,000 metres, Women",Kristina Groves,100968,CAN,Bronze
2010,Winter,Speed Skating (Skating),"3,000 metres, Women",Martina Sáblíková,109768,CZE,Gold
2010,Winter,Speed Skating (Skating),"3,000 metres, Women",Stephanie Beckert,119729,GER,Silver
2006,Winter,Speed Skating (Skating),"3,000 metres, Women",Renate Groenewold,100966,NED,Silver
2006,Winter,Speed Skating (Skating),"3,000 metres, Women",Cindy Klassen,100967,CAN,Bronze
2006,Winter,Speed Skating (Skating),"3,000 metres, Women",Ireen Wüst,109767,NED,Gold
2002,Winter,Speed Skating (Skating),"3,000 metres, Women",Claudia Pechstein,82053,GER,Gold
2002,Winter,Speed Skating (Skating),"3,000 metres, Women",Renate Groenewold,100966,NED,Silver
2002,Winter,Speed Skating (Skating),"3,000 metres, Women",Cindy Klassen,100967,CAN,Bronze
2018,Winter,Speed Skating (Skating),"3,000 metres Relay, Women",Jorien ter Mors,119771,NED,Bronze
2022,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Fan Kexin,127574,CHN,Bronze
2022,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Kim A-Rang,128109,KOR,Silver
2022,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Yara van Kerkhof,128174,NED,Gold
2022,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Han Yutong,136981,CHN,Bronze
2022,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Qu Chunyu,136983,CHN,Bronze
2022,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Choi Min-Jeong,137639,KOR,Silver
2022,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Lee Yu-Bin,137642,KOR,Silver
2022,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Suzanne Schulting,137698,NED,Gold
2022,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Zhang Chutong,140241,CHN,Bronze
2022,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Seo Hwi-Min,140265,KOR,Silver
2022,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Zhang Yuting,148132,CHN,Bronze
2022,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Selma Poutsma,148678,NED,Gold
2022,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Xandra Velzeboer,148679,NED,Gold
2018,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Arianna Fontana,109931,ITA,Silver
2018,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Cecilia Maffei,119756,ITA,Silver
2018,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Lucia Peretti,119783,ITA,Silver
2018,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Martina Valcepina,119787,ITA,Silver
2018,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Kim A-Rang,128109,KOR,Gold
2018,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Sim Seok-Hui,128111,KOR,Gold
2018,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Yara van Kerkhof,128174,NED,Bronze
2018,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Lara van Ruijven,128175,NED,Bronze
2018,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Choi Min-Jeong,137639,KOR,Gold
2018,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Kim Ye-Jin,137641,KOR,Gold
2018,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Lee Yu-Bin,137642,KOR,Gold
2018,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Suzanne Schulting,137698,NED,Bronze
2014,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Marie-Ève Drolet,101419,CAN,Silver
2014,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Arianna Fontana,109931,ITA,Bronze
2014,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Jo Hae-Ri,119757,KOR,Gold
2014,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Lucia Peretti,119783,ITA,Bronze
2014,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Marianne St-Gelais,119786,CAN,Silver
2014,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Martina Valcepina,119787,ITA,Bronze
2014,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Park Seung-Hui,119791,KOR,Gold
2014,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Valérie Maltais,119809,CAN,Silver
2014,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Jessica Hewitt,127544,CAN,Silver
2014,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Elena Viviani,127964,ITA,Bronze
2014,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Kim A-Rang,128109,KOR,Gold
2014,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Gong Sang-Jeong,128110,KOR,Gold
2014,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Sim Seok-Hui,128111,KOR,Gold
